Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
TRY,TRY,TRY,TRY,Turkish Lira Futures,FX,Emerging Market,-,-,Futures,CME,93,1397
0F,A0F,0F,0F,Mini Singapore Fuel Oil 180 cst (Platts) Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,20,1365
31,-,BC / BP,-,Soybean Crush Options,Agriculture,Grain And Oilseed,-,-,Options,CBT,62,1356
Y8,Y8,Y8,Y8,MichCon Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,1344
NQ,NQN,NQ,NQ,Tennessee Zone 0 Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,1344
LB,LB,LB,LB,Heating Oil European Financial Option,Energy,Refined Products,-,Outrights,Options,NYMEX,65,1331
8I,A8I,8I,8I,Mont Belvieu Iso-Butane (OPIS) Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,105,1325
LB,LBS,KL / JL,-,Random Length Lumber Options,Agriculture,Lumber And Pulp,-,-,Options,CME,103,1298
PDM,PDO,PDM,PDM,MISO Indiana Hub Day-Ahead Peak Calendar-Month 5 MW Futures,Energy,Electricity,MISO,Monthly Peak,Futures,NYMEX,0,1275
J7,J7,J7,J7,E-mini Japanese Yen Futures,FX,G10,-,-,Futures,CME,836,1274
NF,GNF,NF,-,Non-fat Dry Milk Futures,Agriculture,Dairy,-,-,Futures,CME,4,1255
1D,A1D,1D,1D,RBOB Gasoline BALMO Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,1241
BY,PJY,BY,BY,British Pound/Japanese Yen Futures,FX,G10,-,-,Futures,CME,4,1229
FOC,FOC,FOC,FOC,NY 3.0% Fuel Oil (Platts) vs. Gulf Coast No. 6 Fuel Oil 3.0% (Platts) Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,1223
PGP,PGG,PGP,PGP,PGP Polymer Grade Propylene (PCW) Financial Futures,Energy,Petrochemicals,Olefin,Financial,Futures,NYMEX,60,1220
STS,STS,STS,STS,Singapore Fuel Oil 180 cst (Platts) 6.35 Dubai (Platts) Crack Spread Futures,Energy,Refined Products,Asian,Crack Spreads,Futures,NYMEX,0,1209
RU,6R,RU,RU,Russian Ruble Options,FX,Emerging Market,-,-,Options,CME,0,1186
W4,AW4,W4,W4,PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,1167
YD,XD,YD,YD,Canadian Dollar Option (European),FX,G10,-,-,Options,CME,286,1166
GS,AGS,GS,GS,Gulf Coast Unl 87 Gasoline M1 (Platts) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,1165
XP,-,XP,-,S&P 500 a-Flex Options,Equities,US Index,-,-,Options,CME,220,1130
MJN,MJN,MJN,MJN,Mini Japan C&F Naphtha (Platts) Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,40,1120
YS,XS,YS,YS,Swiss Franc Option (European),FX,G10,-,-,Options,CME,3,1103
JC,HJC,JC,JC,Jet Cargoes CIF NWE (Platts) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,45,1082
PS,APS,PS,PS,European Propane CIF ARA (Argus) Futures,Energy,Petrochemicals,LPG,Financial,Futures,NYMEX,22,1081
E9,AE9,E9,E9,PJM Eastern Hub Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,1065
U2,AU2,U2,U2,ISO New England New Hampshire Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Peak,Futures,NYMEX,0,1065
MSF,MSF,-,MSF,E-micro Swiss Franc/American Dollar Futures,FX,E Micros,-,-,Futures,CME,256,1064
MCC,MCC,MCC,MCC,Indonesian Coal (McCloskey sub-bituminous) Futures,Energy,Coal,-,-,Futures,NYMEX,120,1035
TP,ATP,TP,TP,ULSD 10ppm Cargoes CIF NWE (Platts) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,26,1030
V0,AV0,V0,V0,Singapore Mogas 95 Unleaded (Platts) Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,1025
TX,TXN,TX,TX,TETCO STX Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,1024
5C,A5C,5C,5C,Chicago ULSD (Platts) vs. NY Harbor ULSD Heating Oil Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,1003
WM,AWM,WM,WM,WTI Crude Oil 6 Month Physical Spread Option,Energy,Crude Oil,-,Spreads,Options,NYMEX,0,1000
6U,EAX,6U,EAX,In Delivery Month European Union Allowance (EUA) Options,Energy,Emissions,-,EU ETS,Options,NYMEX,0,1000
G5,AG5,G5,G5,Natural Gas (Henry Hub) Last-day Financial 5 Month Spread Option,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,1000
8X,8XN,8X,8X,"OneOk, Oklahoma Natural Gas (Platts IFERC) Basis Futures",Energy,Natural Gas,-,Basis,Futures,NYMEX,0,955
P2,AP2,P2,P2,ISO New England Connecticut Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Peak,Futures,NYMEX,0,935
RVG,RVR,RVG,RVG,Gulf Coast Unl 87 Gasoline M2 (Platts) vs. RBOB Gasoline Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,925
A8,AA8,A8,A8,Group Three Unleaded Gasoline (Platts) vs. RBOB Gasoline Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,25,914
VK,AVK,VK,VK,New York Harbor 1.0% Fuel Oil (Platts) BALMO Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,908
4I,A4I,4I,4I,Mont Belvieu Natural Gasoil 5 DL Options,Energy,Petrochemicals,NGL,Financial,Options,NYMEX,0,900
MBL,MBL,MBL,MBL,Mont Belvieu LDH Iso-Butane (OPIS) Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,891
8N,A8N,8N,8N,NY 0.3% Fuel Oil HiPr (Platts) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,850
CWM,WCM,WCM,-,Wheat July-Dec CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,838
STZ,STT,STZ,STZ,Singapore Gasoil 10 ppm (Platts) vs. Singapore Gasoil (Platts) Futures,Energy,Refined Products,Asian,Crack Spreads,Futures,NYMEX,0,835
7R,BR7,7R,7R,Gasoline Euro-bob Oxy NWE Barges (Argus) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,805
ZAY,ZAY,ZA,ZA,RBOB 1 Month Calendar Spread Options,Energy,Refined Products,North American,Spreads,Options,NYMEX,0,800
XA,XAD,XA,-,Australian Dollar Option (European),FX,G10,-,-,Options,CME,30,791
P9,AP9,P9,P9,ISO New England Maine Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Peak,Futures,NYMEX,0,788
49,A49,49,49,PJM PENELEC Zone Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,780
EPN,EPN,EPN,EPN,European Propane CIF ARA (Argus) vs. Naphtha Cargoes CIF NWE (Platts) Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,19,777
CPL,CPL,-,CPL,Certified Emission Reduction Plus (CERplus) Futures,Energy,Emissions,-,CDM,Futures,NYMEX,0,755
RF,ARF,RF,RF,RBOB Gasoline European Financial Option,Energy,Refined Products,-,-,Options,NYMEX,0,753
MBE,MBE,MBE,MBE,Mont Belvieu Spot Ethylene In-Well Futures,Energy,Petrochemicals,Olefin,Physical,Futures,NYMEX,0,746
MBN,MBR,MBN,MBN,Mont Belvieu Ethylene (PCW) Financial Futures,Energy,Petrochemicals,Olefin,Financial,Futures,NYMEX,0,742
JQ,-,JQ,-,Mid-Sized Milk Options,Agriculture,Dairy,-,-,Options,CME,0,738
3X,6000,3X,-,Euro FX Weekly Options Wk 3,FX,G10,-,-,Options,CME,111,738
MJY,MJY,-,MJY,E-micro Japanese Yen/American Dollar Futures,FX,E Micros,-,-,Futures,CME,417,734
1U,A1U,1U,1U,NY Jet Fuel (Platts) vs. NY Harbor ULSD Heating Oil Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,725
UZ,AUZ,UZ,UZ,Gulf Coast Unl 87 (Argus) Up-Down Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,702
3G,A3G,3G,3G,Premium Unleaded Gasoline 10 ppm FOB MED (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,27,694
AJ,AJY,AJ,AJ,Australian Dollar/Japanese Yen Futures,FX,G10,-,-,Futures,CME,82,687
PE,PE,PE,PE,Demarc Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,682
2J,6J2,2J,-,Japanese Yen Weekly Options Wk 2,FX,G10,-,-,Options,CME,23,675
4J,6J4,4J,-,Japanese Yen Weekly Options Wk 4,FX,G10,-,-,Options,CME,233,673
42,A42,42,42,WTI BALMO Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,652
M6A,M6A,M6A,M6A,E-micro Australian Dollar/American Dollar Futures,FX,E Micros,-,-,Futures,CME,635,652
KSD,ASD,KSD,KSD,Singapore Jet Kerosene (Platts) Dubai (Platts) Crack Spread Futures,Energy,Refined Products,Asian,Crack Spreads,Futures,NYMEX,0,650
SSI,SSI,SSI,SSI,Coal (API 8) cfr South China (Argus/McCloskey) Futures,Energy,Coal,-,-,Futures,NYMEX,55,645
I9,AI9,I9,I9,ERCOT South 345 kV Hub 5 MW Peak Futures,Energy,Electricity,ERCOT,Monthly Peak,Futures,NYMEX,0,639
CZ1,ZS1,CZ1,-,Soybean Weekly Options Wk 1,Agriculture,Grain And Oilseed,-,-,Options,CBT,430,637
TH,ATH,TH,TH,Freight Route TC5 (Platts) Futures,Energy,Freight,Wet,-,Futures,NYMEX,0,634
YX,AYX,YX,YX,Mars (Argus) vs. WTI Financial Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,0,630
MD,MD,MD,-,S&P MidCap 400 Futures,Equities,US Index,-,-,Futures,CME,0,625
QA,AQA,QA,QA,Gasoil Mini Financial Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,624
9N,A9N,9N,9N,Argus Propane (Saudi Aramco) Futures,Energy,Petrochemicals,LPG,Financial,Futures,NYMEX,38,623
PZ,PLN,PLZ,PZ,Polish Zloty Futures,FX,Emerging Market,-,-,Futures,CME,21,619
UN,NOK,UN,UN,Norwegian Krone Futures,FX,G10,-,-,Futures,CME,5,608
SFC,SFC,SFC,SFC,Singapore Fuel Oil 180 cst (Platts) Brent Crack Spread Futures,Energy,Refined Products,Asian,Crack Spreads,Futures,NYMEX,0,597
F7,AF7,F7,F7,Gasoil Average Price Options,Energy,Refined Products,European,Outrights,Options,NYMEX,0,592
FK,AFK,FK,FK,3.5% Fuel Oil Cargoes FOB MED (Platts) vs. 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,50,591
BOB,BOO,BOB,BOB,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread (1000mt) Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,10,588
IS,ILS,IS,IS,Israeli Shekel Futures,FX,Emerging Market,-,-,Futures,CME,12,587
IBV,IBV,CAN,-,USD-Denominated Ibovespa Index Futures,Equities,International Index,-,-,Futures,CME,106,585
SP,ASP,SP,SP,Singapore Naphtha (Platts) Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,582
TL,ATL,TL,TL,Freight Route TD3 (Baltic) Futures,Energy,Freight,Wet,-,Futures,NYMEX,0,568
MUD,MUD,MUD,MUD,Mini European Diesel 10 ppm Barges FOB Rdam (Platts) vs. Gasoil Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,566
1R,A1R,1R,1R,Propane Non-LDH Mont Belvieu (OPIS) Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,555
B1U,B1U,B1U,-,30 Year USD Deliverable Interest Rate Swap Futures,Interest Rate,Deliverable Swaps,-,-,Futures,CBT,0,531
US2,ZB2,US2,-,U.S. Treasury Bond Weekly Options Wk 2,Interest Rate,US Treasury,-,-,Options,CBT,0,530
MGN,MGN,MGN,MGN,Mini ULSD 10ppm Cargoes CIF NWE (Platts) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,527
DY,DY,DY,-,Dry Whey Options,Agriculture,Dairy,-,-,Options,CME,0,524
LX,ALX,LX,LX,Los Angeles CARB Diesel (OPIS) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,522
MCD,MCD,-,MCD,E-micro Canadian Dollar/American Dollar Futures,FX,E Micros,-,-,Futures,CME,275,512
MPD,MPP,MPD,MPD,PJM ATSI Zone 5 MW Peak Calendar-Month Day-Ahead Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,508
AA,AA,AA,AA,Brent Crude Oil 1 Month Spread Option,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,500
UFZ,-,UFZ,UFZ,Urea FOB Yuzhny Swap Futures,Agriculture,Fertilizer,-,-,Futures,CBT,0,500
ML,AML,ML,ML,New York Harbor Residual Fuel (Platts) Crack Spread Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,0,500
WZ,AWZ,WZ,WZ,WTI Crude Oil 12 Month Physical Spread Option,Energy,Crude Oil,-,Spreads,Options,NYMEX,0,500
IV,IV,IV,IV,Panhandle Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,488
D5,AD5,D5,D5,PJM Duquesne Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,468
QNE,QNE,QNE,-,E-Mini NASDAQ 100 End-of-Month Options,Equities,US Index,-,-,Options,CME,119,455
8J,A8J,8J,8J,Mont Belvieu Normal Butane (OPIS) BALMO Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,448
NF,GNF,NF,-,Non-fat Dry Milk Options,Agriculture,Dairy,-,-,Options,CME,0,436
7E,A7E,7E,7E,Argus Propane Far East Index Futures,Energy,Petrochemicals,LPG,Financial,Futures,NYMEX,10,430
C4,C4,C4,C4,Transco Zone 1 Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,428
UH,AUH,UH,UH,European 1% Fuel Oil Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,13,425
3U,A3U,3U,3U,European Gasoil Brent Crack Spread Average Price Option,Energy,Refined Products,European,Crack Spreads,Options,NYMEX,0,425
TB,TBN,-,TB,"Texas Gas, Zone SL Natural Gas (Platts IFERC) Basis Futures",Energy,Natural Gas,-,Basis,Futures,NYMEX,0,420
NRS,NRR,NRS,NRS,NYISO Rest of the State Capacity Calendar-Month Futures,Energy,Electricity,NYISO,Flats,Futures,NYMEX,0,408
7G,A7G,7G,7G,Dated Brent (Platts) Daily Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,404
GT,AGT,GT,GT,European Diesel 10 ppm Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,400
U01,U01,U01,U01,Natural Gas Short-Term Options D01,Energy,Natural Gas,-,Outrights,Options,NYMEX,400,400
OEM,OEE,OEM,OEM,MISO Indiana Hub (formerly Cinergy Hub) Peak Option on Calendar Futures Strip,Energy,Electricity,MISO,Monthly Peak,Options,NYMEX,0,400
MP,6M,MP,-,Mexican Peso Options,FX,Emerging Market,-,-,Options,CME,0,389
Z7,AZ7,Z7,Z7,ULSD 10ppm CIF MED (Platts) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,10,386
KR,AKR,KR,KR,European 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,383
C5,AC5,C5,C5,Singapore Fuel Oil 180 cst (Platts) Average Price Options,Energy,Refined Products,Asian,Outrights,Options,NYMEX,0,372
7L,A7L,7L,7L,Premium Unleaded Gasoline 10 ppm Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,367
STR,STR,STR,STR,Singapore Fuel Oil 180 cst (Platts) 6.35 Brent Crack Spread Futures,Energy,Refined Products,Asian,Crack Spreads,Futures,NYMEX,0,352
8L,A8L,8L,8L,Conway Natural Gasoline (OPIS) Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,344
MJC,MJC,MJC,MJC,Mini European Jet Kero Cargoes CIF NWE (Platts) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,340
CC,ECD,CC,CC,Euro/Canadian Dollar Futures,FX,G10,-,-,Futures,CME,40,338
KE,AKE,KE,KE,RME Biodiesel FOB Rdam (Argus) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,330
4X,60000,4X,-,Euro FX Weekly Options Wk 4,FX,G10,-,-,Options,CME,16,328
GOC,GOC,GOC,GOC,Gasoil Crack Spread (1000mt) Financial Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,326
3W,A3W,3W,3W,Heating Oil Crack Spread Average Price Options,Energy,Refined Products,North American,Spreads,Options,NYMEX,0,324
81,A81,81,81,Mont Belvieu Mini LDH Propane (OPIS) Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,320
EV2,EV2,EV2,-,S&P 500 Weekly Options Wk 2,Equities,US Index,-,-,Options,CME,1,319
TY1,ZF1,TY1,-,5 Yr Note Weekly Options Wk 1,Interest Rate,US Treasury,-,-,Options,CBT,303,317
6K,A6K,6K,6K,Central Appalachian Coal Quarterly Strip Options,Energy,Coal,-,-,Options,NYMEX,0,315
2B,6B2,2B,-,British Pound/American Weekly Options Wk 2,FX,G10,-,-,Options,CME,87,311
TM,ATM,TM,TM,Freight Route TC2 (Baltic) Futures,Energy,Freight,Wet,-,Futures,NYMEX,0,310
7I,A7I,7I,7I,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread BALMO Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,300
RMG,RMG,RMG,RMG,Tokyo Bay Gasoline (RIM) Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,300
M2,AM2,M2,M2,Singapore Gasoil (Platts) Average Price Options,Energy,Refined Products,Asian,Outrights,Options,NYMEX,0,300
VV,VV,VV,VV,Gulf Coast ULSD (Platts) vs. Gulf Coast Jet (Platts) Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,300
2A,6A2,2A,-,Australian Dollar/American Weekly Options Wk 2,FX,G10,-,-,Options,CME,16,299
Z5,AZ5,Z5,Z5,Gasoil 0.1 Cargoes CIF MED (Platts) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,292
QN1,QN1,QN1,-,E-Mini NASDAQ 100 Weekly Options Wk 1,Equities,US Index,-,-,Options,CME,100,287
RMB,RMB,RMB,RMB,Chinese Renminbi/USD Futures,FX,Emerging Market,-,-,Futures,CME,11,276
CA,EAD,CA,CA,Euro/Australian Dollar Futures,FX,G10,-,-,Futures,CME,50,273
1P,A1P,1P,1P,Singapore Mogas 92 Unleaded (Platts) BALMO Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,265
VU,AVU,VU,VU,Singapore Gasoil (Platts) BALMO Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,264
H1,AH1,H1,H1,NY 3.0% Fuel Oil (Platts) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,260
4S,A4S,4SN,4S,PJM Western Hub 50 MW Peak Calendar-Month Real-Time LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,256
NOB,NOO,NOB,NOB,Naphtha Cargoes CIF NWE (Platts) Crack Spread (1000mt) Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,249
L4,L4,L4,L4,Tennessee 800 Leg Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,248
UFN,-,UFN,UFN,Urea (Granular) FOB US Gulf Swap Futures,Agriculture,Fertilizer,-,-,Futures,CBT,0,246
8O,A8O,8O,8O,Mont Belvieu LDH Propane (OPIS) BALMO Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,242
RMK,RMK,RMK,RMK,Tokyo Bay Kerosene (RIM) Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,240
32,A32,32,32,European Propane CIF ARA (Argus) BALMO Futures,Energy,Petrochemicals,LPG,Financial,Futures,NYMEX,0,238
HPE,HPE,HPE,HPE,HDPE High Density Polyethylene (PCW) Financial Futures,Energy,Petrochemicals,Resin,Financial,Futures,NYMEX,0,234
QI,QI,QI,-,miNY Silver Futures,Metals,Precious,-,-,Futures,COMEX,52,233
BUS,BUS,-,BUS,U.S. Midwest Busheling Ferrous Scrap (AMM) Futures,Metals,Ferrous,-,-,Futures,NYMEX,0,232
KZ,AKZ,KZ,KZ,European Naphtha (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,230
CO6,OC6,CO6,-,Soybean Oil July-Dec CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,230
Z0,AZ0,Z0,Z0,Singapore Jet Kerosene (Platts) vs. Gasoil (Platts) BALMO Futures,Energy,Refined Products,Asian,Spreads,Futures,NYMEX,0,225
LE,SLE,LE,LE,FAME 0 Biodiesel FOB Rdam (Argus) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,225
6W,A6W,6W,6W,Brent CFD (Platts) vs. Brent Second Month (Platts) Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,0,220
U4,AU4,U4,U4,ISO New England Rhode Island Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,ISO-NE,Monthly Peak,Futures,NYMEX,0,213
3A,6A3,3A,-,Australian Dollar/American Weekly Options Wk 3,FX,G10,-,-,Options,CME,10,212
UL1,UB1,UL1,-,Ultra U.S. Treasury Bond Weekly Options Wk 1,Interest Rate,US Treasury,-,-,Options,CBT,50,210
IBE,IBE,IBE,IBE,Brent (Euro Denominated) Financial Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,204
BI,ABI,BI,BI,Dubai Crude Oil (Platts) BALMO Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,200
BX,ABX,BX,BX,Singapore Jet Kerosene (Platts) BALMO Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,200
6I,A6I,6I,6I,Natural Gas Winter Strip Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,200
S4,AS4,S4,S4,PJM APS Zone Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Peak,Futures,NYMEX,0,195
BS,ABS,BS,BS,Singapore Fuel Oil 180 cst (Platts) BALMO Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,194
MEN,MEE,MEN,MEN,Mini European Naphtha (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,191
T0,AT0,T0,T0,Mini European 1% Fuel Oil Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,187
91,A91,91,91,Argus Propane Far East Index vs. European Propane CIF ARA (Argus) Futures,Energy,Petrochemicals,Arb,Financial,Futures,NYMEX,5,184
43,A43,43,43,European Naphtha (Platts) Crack Spread BALMO Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,184
1W,A1W,1W,1W,1% Fuel Oil Cargoes CIF MED (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,183
1C,A1C,1C,1C,Brent CFD (Platts) vs. Brent Front Month (Platts) Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,0,180
AH,AAH,AH,AH,Dubai Crude Oil (Platts) Average Price Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,180
UJ,AUJ,UJ,UJ,European Jet Kerosene Cargoes CIF NWE (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,179
CWN,12W,12W,-,Wheat July-July CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,170
MFO,MFO,MFO,MFO,Coal (API 4) fob Richards Bay (Argus/McCloskey) Options,Energy,Coal,-,-,Options,NYMEX,0,165
COY,CZL,COY,-,Consecutive Soybean Oil CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,160
CPO,CPO,-,-,U.S. Dollar Denominated Crude Palm Oil Futures,Agriculture,Grain And Oilseed,-,-,Futures,CME,0,160
QC,QC,QC,-,E-mini Copper Futures,Metals,Base,-,-,Futures,COMEX,39,160
MIR,MIR,-,-,E-micro Indian Rupee/USD Futures,FX,E Micros,-,-,Futures,CME,127,155
ZSC,CZS,ZSC,-,Consecutive Soybean CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,151
UFU,-,UFU,UFU,UAN FOB FOB NOLA Swap Futures,Agriculture,Fertilizer,-,-,Futures,CBT,0,150
E6,E6,E6,E6,Japan C&F Naphtha (Platts) BALMO Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,150
3C,A3C,3C,3C,Chicago Unleaded Gasoline (Platts) vs. RBOB Gasoline Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,150
UL2,UB2,UL2,-,Ultra U.S. Treasury Bond Weekly Options Wk 2,Interest Rate,US Treasury,-,-,Options,CBT,0,150
SE,SEK,SE,SE,Swedish Krona Futures,FX,G10,-,-,Futures,CME,18,147
JE,JE,JE,JE,EIA Flat Tax U.S. Retail Gasoline Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,144
KE,ESK,KE,KE,Euro/Swedish Krona Futures,FX,G10,-,-,Futures,CME,0,144
RBF,RBF,RBF,RBF,RME Biodiesel FOB Rdam (Argus) (RED Compliant) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,140
51,51,51,51,Mont Belvieu LDH Propane (OPIS) vs. European Propane CIF ARA (Argus) Futures,Energy,Petrochemicals,Arb,Financial,Futures,NYMEX,0,140
MQ,MQ,MQ,MQ,Los Angeles Jet Fuel (Platts) vs. NY Harbor ULSD Heating Oil Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,140
11,OZD,DJC / DJP,-,$10 Dow Options,Equities,US Index,-,-,Options,CBT,0,131
ME,EMD,ME,-,E-mini S&P 400 Options,Equities,US Index,-,-,Options,CME,2,127
EV4,EV4,EV4,-,S&P 500 Weekly Options Wk 4,Equities,US Index,-,-,Options,CME,113,114
DGS,-,DGS,DGS,Cleared OTC Dow Jones-UBS Commodity Index Swap,Agriculture,Commodity Index,-,-,Futures,CBT,0,114
UI,AUI,UI,UI,European 3.5% Fuel Oil Cargoes FOB MED (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,108
DFL,-,DFL,DFL,DAP FOB NOLA Swap Futures,Agriculture,Fertilizer,-,-,Futures,CBT,0,105
