Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
L23,L23,L23,-,Gold Short-Term Options D23,Metals,Precious,-,-,Options,COMEX,0,0
C10,C10,C10,C10,Crude Oil Short-Term Options D10,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
CVF,CVF,CVF,CVF,Crude Oil Volatility Index (VIX) Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,0
U22,U22,U22,U22,Natural Gas Short-Term Options D22,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
NEL,NEG,NEL,NEL,ISO New England Mass Hub Peak LMP Option on Calendar Futures Strip,Energy,Electricity,ISO-NE,Monthly Peak,Options,NYMEX,0,0
37,37,37,37,"Argus Sour Crude Index (""ASCI"") Calendar Month Futures",Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,0
NBB,NBB,NBB,NBB,Naphtha Cargoes CIF NWE (Platts) Crack Spread (1000mt) BALMO Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,0
IDO,IDL,-,IDO,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Off-Peak,Futures,NYMEX,0,0
NOC,NOI,-,NOC,PJM Northern Illinois Hub Real-Time Off-Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Off-Peak,Futures,NYMEX,0,0
CCA,CCA,-,CCA,California Carbon Allowance (CCA) Futures,Energy,Emissions,-,CA,Futures,NYMEX,0,0
ACR,-,ACR,ACR,Australian Coking Coal (Argus) Low Vol Futures,Metals,Coking Coal,-,-,Futures,NYMEX,0,0
TY4,ZF4,TY4,-,5 Yr Note Weekly Options Wk 4,Interest Rate,US Treasury,-,-,Options,CBT,0,0
FSF,-,FSF,FSF,"HMS 80/20 Ferrous Scrap, CFR Turkey (Platts) Futures",Metals,Ferrous,-,-,Futures,NYMEX,0,0
GCM,GCM,GCM,GCM,Gulf Coast Unl 87 Gasoline M2 (Platts) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
2F,-,2F,2F,CAISO NP15 EZ Gen Hub 5 MW Peak Calendar-Day Real-Time LMP Futures,Energy,Electricity,Western Power,Daily Peak,Futures,NYMEX,0,0
3X,-,3X,3X,CAISO NP15 EZ Gen Hub 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,Western Power,Monthly Off-Peak,Futures,NYMEX,0,0
